order_id,driver_id
100042151807,787277018694
100081753505,955728734151
100161922318,912702947875
100241210016,722143793474
100257841517,563918320353
100289083506,876879456120
100340017514,487888083895
100834726211,576663540425
100851472409,307284975605
101032300407,497909770129
101076130600,566628978383
101235233017,351422937310
101375162815,240328430994
101443983416,654658625095
101506182804,734981675337
101548109602,451371168358
101597066600,427699899903
101674434414,263367369335
101780066710,230812427348
102027030312,944041697160
102200016315,807241154023
102256738518,384287738934
102348481303,180116238246
102384329060,938400038478
102483157180,433256947765
102799413817,176201794340
102909772804,962885690344
102989674213,992293306249
103060506603,257202437362
103068442701,488236416440
103165968103,247542242474
103446678709,839579520426
103493272201,956028394671
103556175410,540872889197
103567408715,244350480564
103675908119,881147738380
103701494617,688452925869
103889800511,306744367371
103896127904,116371761917
103947567417,936258274112
103965468316,923376946756
104103547203,681627466031
104133528204,443824405012
104236985500,132362227590
104370664009,450655767157
104456714214,536732395619
104701533709,346917659392
104724561008,201194812760
104801913613,930077165059
104877464016,129508979863
104957998700,313270777536
104993547040,106255152380
105018897709,809849933903
105282339314,415220216730
105438935709,416204211304
105442874710,768921249216
105457393404,678055700094
105525805603,708381366518
105553219911,679474243107
105699819400,630824439674
105792733816,511081344627
105798500600,372061904707
105877941607,719194714256
105898302110,912702947875
105988374713,313690685599
106067738160,957200296389
106084968001,538052932615
106092983610,446312811712
106257352503,129064506020
106302156011,850441863165
106339020090,376812551945
106397836906,578597721357
106408151514,208122262073
106421386000,777493373540
106477690709,817395192923
106513111809,974730360443
106516481401,427413751493
106553756610,906811598275
106598783108,659350657355
106604743601,925474880115
106653218314,970413739994
106717331401,137732841602
106758631514,386471787276
106844960406,377826906347
106845516906,684116671979
106933194618,306256431125
107006106201,359355814997
107084148601,443708968930
107184885912,779140581705
107284170601,717921196767
107300338114,178102503935
107323714212,131606234827
107435145707,658436433954
107477558818,482375767671
107494364817,635004618979
107528004011,549636449528
107566844212,441323967970
107701079214,692701946941
107752080903,740992816023
107971900806,908795208310
108092772116,722143793474
108095154000,683381189529
108145899317,982441098770
108157078002,425106643162
108420836617,299859778020
108544674104,721386369875
108559506209,387291686911
108605550800,325226758773
